event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
CHN4392,"30 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Hubei,Shiyan,Danjiangkou,Danjiangkou,32.5401,111.5131,1,"CLB (China)",Other,"Around 30 June 2020 (as reported), up to 100 migrant workers demonstrated in Danjiangkou City (Shiyan City, Hubei Province) against wage arrears owed to them by a new energy company. They held banners during the demonstration.",0,"crowd size=up to 100",1618500517
CHN4393,"30 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Shanxi,Yangquan,Cheng,Cheng,37.8475,113.6005,2,"CLB (China)",Other,"Around 30 June 2020 (as reported), up to 100 migrant workers demonstrated in Yangquan City, Shanxi Province against wage arrears owed to them by a construction project. It was reported that the workers had been owed wages for two months.",0,"crowd size=up to 100",1618500518
CHN4394,"30 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Jiangsu,Wuxi,Binhu,Binhu,31.528,120.2827,1,"CLB (China)",Other,"Around 30 June 2020 (as reported), up to 100 migrant workers demonstrated in Sunjiang Road, Binhu District (Wuxi City, Jiangsu Province) against wage arrears owed to them by an interior design company. It was reported that they had been owed wages for more than 10 days.",0,"crowd size=up to 100",1618500518
CHN4418,"30 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,"Inner Mongolia",Wuda,Haibowan,Haibowan,39.6914,106.8219,1,"CLB (China)",Other,"On 30 June 2020, up to 100 taxi drivers demonstrated at the Wuhai Transportation Bureau in Haibowan District (Wuhai City, Inner Mongolia) against the illegal operations of private hire drivers. It was reported that the taxi drivers had recently caught a private hire driver, who was later confirmed to be an auxiliary police officer.",0,"crowd size=up to 100",1618500519
CHN4420,"30 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Sichuan,Nanchong,Pengan,Peng'an,31.0287,106.4122,1,"CLB (China)",Other,"On 30 June 2020, between 101 and 1000 employees demonstrated in Peng'an County (Nanchong City, Sichuan Province) against wage arrears owed to them by a machinery factory. It was reported that they had been owed wages for three months.",0,"crowd size=between 101 and 1000",1618500519
CHN4511,"30 June 2020",2020,2,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Zhejiang,Jinhua,Yongkang,Yongkang,28.8885,120.0476,1,"CLB (China)",Other,"Around 30 June 2020, as many as 100 drivers staged a protest in Yongkang county (Jinhua, Zhejiang) against demands by a now bankrupt car rental company, which included returning cars that the drivers paid for by themselves. They had been gathering and protesting at the office daily for over 10 days as of 16 July.",0,"crowd size=as many as 100",1618500547
CHN4569,"30 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Labor Group (China)",6,,,0,60,,156,"East Asia",China,Hunan,Yueyang,Xiangyin,Xiangyin,28.6725,112.8814,1,"CLB (China)",Other,"On 30 June 2020, at least 20 taxis were parked together in Xiangyin County (Yueyang, Hunan) in a strike to demand governmental intervention in banning the shared electricity bikes. It was also reported that 101-1000 taxi drivers submitted a petition letter to the local government on 30 June 2020 to protest against safety risks and unfair competition brought upon by these shared bikes. After submitting the petition letter, taxi drivers also confiscated hundreds of bikes and put them at one place.",0,"crowd size=at least 20",1618500535
CHN4428,"30 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Farmers (China)",6,,,0,60,,156,"East Asia",China,"Hong Kong",North,,"Hong Kong - North",22.4924,114.1387,1,Inmediahk.net,Subnational,"On 30 June 2020, ahead of the committee meeting, about 20 members of the Fanling North Squatters Concern Group and an association of affected farmers demonstrated at the North District government offices in North District (Hong Kong), calling on the authorities to terminate the in-situ land exchange, and instead implement the integrated farming and housing plan for farmers.",0,"crowd size=about 20",1611094733
CHN4400,"30 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","Five Demands Movement",6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,"Ming Pao",Subnational,"On 30 June 2020, about 10 people held a 'Lunch with You' rally at Landmark, Central and Western District (Hong Kong). They sang the anti-ELAB protest anthem 'Glory to Hong Kong', and chanted slogans to continue the resistance and called on the public to participate in the demonstration at Victoria Park on the next day. Police officers arrived at the scene to cordon off the area and performed stop and search on a number of people in the mall. After the police left the scene, an entertainer and a prominent Hong Kong businessman returned to the mall and held up the gesture calling for the five demands.",0,"crowd size=about 10",1611094734
CHN4406,"30 June 2020",2020,1,Demonstrations,Protests,"Peaceful protest","Protesters (China)","DHKC: Defend Hong Kong Campaign",6,,,0,60,,156,"East Asia",China,"Hong Kong","Central and Western",,"Hong Kong - Central and Western",22.2811,114.1598,1,RTHK,Subnational,"On 30 June 2020, members of the DHKC held a rally at Tamar Park in Central and Western District (Hong Kong), to support the enactment of the national security law in Hong Kong. They stated that the passing of the national security law was a 'gift' by the Chinese central government to mark the handover of Hong Kong to China. They held banners and slogans and the Chinese national flags, and sang the national anthem in celebration of the newly-enacted law.",0,"crowd size=no report",1611094735
