,event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,inter2,interaction,iso,region,country,admin1,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,related_ep
7,CHN4428,2020-06-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Farmers (China),6,0,60,156,East Asia,China,Hong Kong,North,22.4924,114.1387,1,Inmediahk.net,Subnational,"On 30 June 2020, ahead of the committee meeting, about 20 members of the Fanling North Squatters Concern Group and an association of affected farmers demonstrated at the North District government offices in North District (Hong Kong), calling on the authorities to terminate the in-situ land exchange, and instead implement the integrated farming and housing plan for farmers.",0,crowd size=about 20,1611094733,no
8,CHN4400,2020-06-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Ming Pao,Subnational,"On 30 June 2020, about 10 people held a 'Lunch with You' rally at Landmark, Central and Western District (Hong Kong). They sang the anti-ELAB protest anthem 'Glory to Hong Kong', and chanted slogans to continue the resistance and called on the public to participate in the demonstration at Victoria Park on the next day. Police officers arrived at the scene to cordon off the area and performed stop and search on a number of people in the mall. After the police left the scene, an entertainer and a prominent Hong Kong businessman returned to the mall and held up the gesture calling for the five demands.",0,crowd size=about 10,1611094734,yes
9,CHN4406,2020-06-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),DHKC: Defend Hong Kong Campaign,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,RTHK,Subnational,"On 30 June 2020, members of the DHKC held a rally at Tamar Park in Central and Western District (Hong Kong), to support the enactment of the national security law in Hong Kong. They stated that the passing of the national security law was a 'gift' by the Chinese central government to mark the handover of Hong Kong to China. They held banners and slogans and the Chinese national flags, and sang the national anthem in celebration of the newly-enacted law.",0,crowd size=no report,1611094735,no
10,CHN4405,2020-06-30,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (China),Five Demands Movement,6,1,16,156,East Asia,China,Hong Kong,Kwun Tong,22.3109,114.2233,1,RTHK,Subnational,"On 30 June 2020, dozens of people held a 'Lunch with You' rally at apm mall in Kwun Tong District (Hong Kong). They chanted slogans calling 'Hong Kong independence, the only way out' and played anti-ELAB songs during the demonstration. They also called on the public to participate in the protest rally to be held the next day. Riot police entered the mall and warned the crowd that they were participating in an illegal assembly. 4 people (3 men, 1 women) were arrested by the police after the crowd had refused to disperse.",0,crowd size=dozens,1611094735,yes
11,CHN4410,2020-06-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Students (China),6,0,60,156,East Asia,China,Hong Kong,Tai Po,22.4434,114.1646,1,The Stand News,Subnational,"On 30 June 2020, more than 30 students and alumni from three middle schools held a 'Back to School with You' rally in Tai Po District. They silently marched from Fu Shin Shopping Centre to their respective schools, only chanting ant-ELAB and pro-independence slogans upon reaching the schools. It was reported that teachers and principals were present at Fu Shin Shopping Centre urging the students not to participate in the march.",0,crowd size=more than 30,1611094736,no
12,CHN4440,2020-06-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Wen Wei Po,Subnational,"On 30 June 2020, at least 8 members of the 'Tuen Mun Joint Alliance' protested outside the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong), against the alleged 'slander' of Hong Kong's national security law by the United States. They condemned the US government's interference in the internal affairs of China and Hong Kong, and expressed support counter-measures to be introduced by the Chinese government.",0,crowd size=at least 8,1611094737,no
13,CHN4409,2020-06-30,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,unknown,22.3222,114.177,3,Wen Wei Po,Subnational,"On 30 June 2020, the pro-Beijing group 'China Heart' held flash mob events across all 18 districts in Hong Kong, after the National People's Congress had voted unanimously to legislate the national security law in Hong Kong. They held placards, waved the Hong Kong flag and Chinese national flag and sang the national anthem, in support of the newly-enacted national security law.",0,crowd size=no report,1618442046,no
18,CHN4402,2020-06-29,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Five Demands Movement; Students (China),6,0,60,156,East Asia,China,Hong Kong,Tai Po,22.4434,114.1646,1,Apple Daily Hong Kong,Subnational,"On 29 June 2020, student unions of eight universities and more than 10 members of the public gathered for a memorial service held at The Education University of Hong Kong in Tai Po District (Hong Kong), for the first death anniversary of an alumnus who died during an anti-ELAB demonstration. They sang the anti-ELAB protest anthem 'Glory to Hong Kong', and presented notes and paper cranes at the altar dedicated to the deceased.",0,crowd size=at least more than 10,1611094731,yes
19,CHN4404,2020-06-29,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Government of China (2017-) Hong Kong Special Administrative Region,6,0,60,156,East Asia,China,Hong Kong,Kwun Tong,22.3109,114.2233,1,RTHK,Subnational,"On 29 June 2020, a group of district councillors and owners of 'Green Form' subsidised housing demonstrated at the Green Form Subsidised Home Ownership Scheme sales office in Kwun Tong District (Hong Kong), stating that the 'Green Form' subsidised housing by the Housing Authority had poor materials and poor management in recent years. They called on the public not to buy 'Green Form' subsidised housing.",0,crowd size=a group,1611094735,no
20,CHN4401,2020-06-29,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Eastern,22.2821,114.2213,1,The Stand News,Subnational,"On 29 June 2020, a large number of people gathered outside the Eastern Magistrates' Courts in Eastern District (Hong Kong), in solidarity with two defendants who were appearing in court for their charges for illegal assembly and for obstructing the police during the anti-ELAB demonstrations last year. They held placards with words of encouragement during the demonstration.",0,crowd size=a large number,1611094736,no
21,CHN4408,2020-06-29,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Civil Force (Hong Kong),6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Wen Wei Po,Subnational,"On 29 June 2020, at least 7 members of Civil Force demonstrated outside the government headquarters in Central and Western District (Hong Kong), urging the government to follow up on the implementation of the 'health code', which would be mutually recognized by Hong Kong, Macau and Guangdong. They also called on the government to provide assistance to those who need testing for the coronavirus, which cost more than 10 times than that in Macau or Mainland China.",0,crowd size=at least 7,1611094737,no
22,CHN4439,2020-06-29,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Wen Wei Po,Subnational,"On 29 June 2020, members of the 'Anti-US Hegemony Alliance' demonstrated outside the Office of the Commissioner of the Ministry of Foreign Affairs of the People's Republic of China in the Hong Kong Special Administrative Region in Central and Western District (Hong Kong). They urged the Chinese government to impose counter-sanctions and prohibit the entry of US senators, in response to the 'Hong Kong Autonomy Act' passed by the US Senate on 25 June 2020.",0,crowd size=no report,1611094737,no
30,CHN4403,2020-06-28,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Unknown,6,0,60,156,East Asia,China,Hong Kong,Central and Western,22.2811,114.1598,1,Ta Kung Pao; RTHK,Subnational,"On 28 June 2020, dozens to nearly 30 members of the pro-establishment group 'Together Hong Kong' marched from Chater Garden to the Consulate General of the United States, Hong Kong and Macau in Central and Western District (Hong Kong), in support of the legislation of the national security law in Hong Kong. They also protested against the passing of the Hong Kong Autonomy Act and the alleged interference of the US government in the internal affairs of Hong Kong. During the demonstration, they chanted slogans calling for the US president to step down and demanding that the Hong Kong government restrict entry of US officials who intervened with Hong Kong affairs.",0,crowd size=dozens to nearly 30,1611094729,no
31,CHN4395,2020-06-28,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Extinction Rebellion,6,0,60,156,East Asia,China,Hong Kong,Wan Chai,22.2776,114.175,1,HKFP,Subnational,"On 28 June 2020, members of Extinction Rebellion Hong Kong staged a 'die-in' protest at Happy Valley Cemetery in Wan Chai District (Hong Kong), to raise awareness of the dangers of air pollution and the global climate crisis. They placed 35 shoes on the ground of the cemetery to represent the number of people killed each week due to air pollution in the city. This was the first of two demonstrations staged by the group on the same day.",0,crowd size=no report,1680633592,no
32,CHN4396,2020-06-28,2020,1,Demonstrations,Protests,Peaceful protest,Protesters (China),Extinction Rebellion,6,0,60,156,East Asia,China,Hong Kong,Yau Tsim Mong,22.3201,114.1692,1,HKFP,Subnational,"On 28 June 2020, at least 4 members of Extinction Rebellion Hong Kong demonstrated in Mong Kok, Yau Tsim Mong District (Hong Kong), to raise awareness of the dangers of air pollution and the global climate crisis. They held two large banners highlighting that 35 people are killed each week in Hong Kong due to air pollution. This was the second of two demonstrations staged by the group on the same day.",0,crowd size=at least 4,1680633592,no
33,CHN4384,2020-06-28,2020,1,Demonstrations,Protests,Protest with intervention,Protesters (China),Five Demands Movement; Government of China (2017-) Hong Kong Special Administrative Region; Civilians (China); Journalists (China),6,1,16,156,East Asia,China,Hong Kong,Yau Tsim Mong,22.3201,114.1692,1,HK01; Radio Free Asia; South China Morning Post,Subnational-Regional,"On 28 June 2020, demonstrators held a protest march from Jordan MTR Station to Langham Place in Yau Tsim Mong District (Hong Kong), to oppose the legislation of the national security law in Hong Kong. They chanted anti-ELAB slogans, and called for the public to participate in the demonstration at Victoria Park on 1 July 2020. Riot police at the scene repeatedly issued warnings to the demonstrators to disperse, who continued chanting slogans despite the warnings. Pepper spray were fired multiple times throughout the demonstration, with an officer briefly firing pepper spray at journalists on Sai Yeung Choi Street South on the grounds that they were obstructing the police. A total of 53 people (including two district councillors) were arrested.",0,crowd size=at least 53,1687985750,yes
