Subject;Predicate;"	Object"
Article on the Punishment for Buying Women;dc:creator;Luo Xiang
Luo Xiang;foaf:member;China University of Political Science and Law
Article on the Punishment for Buying Women;dcterms:spatial;Wechat
Article on the Punishment for Buying Women;schema:datePublished;07/02/2020
Article on the Punishment for Buying Women;crm:P2_has_type;Text
Article on the Punishment for Buying Women;crm:P72_has_Title;Why Do I Still Advocate for Harsher Penalties for the Crime of Buying Women and Children?
Article on the Punishment for Buying Women;crm:P72:has_Language;Chinese
Article on the Punishment for Buying Women;schema:url;https://mp.weixin.qq.com/s/UUwTBaeSCU5Rw_fSKNSZMw
Article on the Punishment for Buying Women;dc:subject;Human Trafficking
;;
